Date,Open,High,Low,Close,Volume
03/28/2025,"5,248.00","5,252.00","5,115.05","5,148.35","16,449"
03/27/2025,"5,149.95","5,252.50","5,050.00","5,208.65","42,574"
03/26/2025,"5,176.95","5,220.00","5,113.00","5,151.45","21,571"
03/25/2025,"5,084.95","5,198.95","5,068.00","5,149.85","46,703"
03/24/2025,"5,005.05","5,073.50","4,977.40","5,020.85","54,143"
03/21/2025,"5,083.90","5,138.25","4,980.00","4,992.30","51,177"
03/20/2025,"5,220.95","5,227.05","4,912.75","5,083.35","190,741"
03/19/2025,"5,206.05","5,459.30","5,162.50","5,441.75","20,684"
03/18/2025,"5,040.00","5,250.00","5,027.75","5,195.25","21,860"
03/17/2025,"5,003.70","5,074.00","4,895.00","5,016.15","30,429"
03/13/2025,"5,080.05","5,105.75","4,957.00","5,003.70","28,302"
03/12/2025,"4,920.40","5,019.25","4,905.00","5,010.60","16,258"
03/11/2025,"4,850.35","4,932.00","4,805.00","4,907.55","33,602"
03/10/2025,"5,070.05","5,107.50","4,915.00","4,942.35","12,635"
03/07/2025,"5,062.00","5,107.75","5,002.35","5,059.15","14,585"
03/06/2025,"5,150.00","5,151.70","5,033.65","5,071.30","44,294"
03/05/2025,"4,904.95","5,085.00","4,901.05","5,071.70","76,595"
03/04/2025,"4,858.95","4,963.35","4,779.80","4,905.85","38,158"
03/03/2025,"4,849.95","4,937.50","4,582.30","4,868.80","143,611"
02/28/2025,"4,654.70","4,904.90","4,557.45","4,710.65","198,381"
02/27/2025,"5,459.95","5,459.95","4,655.40","4,673.90","280,450"
02/25/2025,"5,859.90","5,859.90","5,729.20","5,758.55","4,820"
02/24/2025,"5,752.20","5,850.00","5,708.00","5,836.55","11,792"
02/21/2025,"5,797.50","5,871.60","5,755.95","5,841.45","7,400"
02/20/2025,"5,597.80","5,779.95","5,554.10","5,752.15","9,155"
02/19/2025,"5,435.50","5,622.85","5,352.75","5,598.15","8,312"
02/18/2025,"5,414.30","5,463.60","5,287.70","5,436.00","16,178"
02/17/2025,"5,399.95","5,433.90","5,270.00","5,415.95","15,855"
02/14/2025,"5,580.00","5,597.65","5,358.00","5,417.05","4,436"
02/13/2025,"5,699.95","5,703.95","5,533.50","5,550.15","4,150"
02/12/2025,"5,510.95","5,706.30","5,374.00","5,641.05","17,988"
02/11/2025,"5,672.95","5,673.00","5,391.25","5,506.85","30,398"
02/10/2025,"5,927.95","5,927.95","5,615.85","5,651.30","13,010"
02/07/2025,"5,871.15","5,948.20","5,833.10","5,868.25","9,782"
02/06/2025,"6,051.90","6,060.55","5,851.50","5,860.15","8,329"
02/05/2025,"6,048.70","6,092.45","5,965.55","6,032.90","14,484"
02/04/2025,"5,876.30","5,985.40","5,857.35","5,966.65","15,405"
02/03/2025,"5,847.45","5,918.00","5,747.55","5,859.10","23,164"
01/31/2025,"5,791.20","6,054.90","5,721.70","6,034.95","33,244"
01/30/2025,"5,894.80","5,894.80","5,727.50","5,788.65","20,459"
01/29/2025,"5,685.00","5,904.95","5,685.00","5,834.25","13,924"
01/28/2025,"5,603.60","5,763.75","5,484.25","5,672.95","46,666"
01/27/2025,"5,914.80","5,914.80","5,590.70","5,643.50","43,218"
01/24/2025,"6,349.60","6,405.85","5,891.75","5,917.75","51,302"
01/23/2025,"6,219.80","6,461.00","6,150.00","6,248.45","33,274"
01/22/2025,"6,560.90","6,608.70","5,986.25","6,154.15","66,738"
01/21/2025,"6,804.95","6,815.00","6,530.00","6,562.85","11,478"
01/20/2025,"6,824.55","6,824.55","6,699.80","6,803.45","7,880"
01/17/2025,"6,639.95","6,820.00","6,600.00","6,781.10","10,730"
01/16/2025,"6,579.55","6,707.00","6,522.05","6,666.45","10,221"
01/15/2025,"6,559.95","6,598.15","6,390.60","6,455.15","11,482"
01/14/2025,"6,251.80","6,500.95","6,185.80","6,477.00","9,871"
01/13/2025,"6,477.80","6,530.00","6,230.35","6,249.55","9,202"
01/10/2025,"6,726.15","6,749.00","6,500.50","6,537.30","14,577"
01/09/2025,"6,979.05","6,979.05","6,737.55","6,749.40","8,278"
01/08/2025,"7,161.10","7,161.10","6,825.00","6,916.15","7,184"
01/07/2025,"6,949.25","7,189.00","6,949.25","7,161.30","7,071"
01/06/2025,"7,259.95","7,259.95","6,925.55","6,944.25","14,259"
01/03/2025,"7,449.45","7,449.45","7,168.70","7,220.85","5,149"
01/02/2025,"7,399.95","7,438.40","7,281.05","7,384.40","6,007"
01/01/2025,"7,299.95","7,350.45","7,204.20","7,342.25","4,199"
12/31/2024,"7,270.05","7,356.05","7,183.60","7,271.55","6,173"
12/30/2024,"7,143.65","7,321.00","7,142.40","7,284.05","9,340"
12/27/2024,"7,147.00","7,198.05","7,082.35","7,150.90","6,604"
12/26/2024,"7,091.85","7,163.55","7,048.70","7,147.00","5,420"
12/24/2024,"7,149.85","7,149.85","7,022.20","7,090.20","3,304"
12/23/2024,"7,160.40","7,266.10","7,083.00","7,116.65","9,467"
12/20/2024,"7,500.05","7,590.40","7,151.00","7,180.70","5,991"
12/19/2024,"7,399.65","7,510.00","7,296.40","7,487.45","6,225"
12/18/2024,"7,480.00","7,490.00","7,380.00","7,408.85","3,798"
12/17/2024,"7,527.75","7,547.70","7,450.85","7,474.35","6,265"
12/16/2024,"7,521.75","7,595.50","7,508.15","7,543.10","2,396"
12/13/2024,"7,450.05","7,563.20","7,405.00","7,521.75","3,410"
12/12/2024,"7,443.95","7,525.05","7,390.15","7,484.45","3,615"
12/11/2024,"7,441.40","7,450.55","7,385.70","7,397.75","2,819"
12/10/2024,"7,438.20","7,466.55","7,370.80","7,440.75","8,094"
12/09/2024,"7,310.05","7,475.40","7,292.45","7,446.20","14,470"
12/06/2024,"7,350.25","7,360.00","7,285.00","7,319.40","2,279"
12/05/2024,"7,346.40","7,384.45","7,275.00","7,334.65","3,827"
12/04/2024,"7,413.00","7,478.40","7,275.00","7,297.55","5,936"
12/03/2024,"7,359.95","7,428.00","7,303.00","7,412.00","10,748"
12/02/2024,"7,281.05","7,391.00","7,281.05","7,352.85","4,740"
11/29/2024,"7,189.80","7,317.65","7,116.00","7,297.45","14,597"
11/28/2024,"7,078.45","7,166.20","7,040.00","7,149.10","19,066"
11/27/2024,"6,875.00","7,082.00","6,823.20","7,044.55","19,721"
11/26/2024,"6,780.70","6,884.95","6,739.55","6,875.00","5,288"
11/25/2024,"6,839.65","6,839.65","6,703.50","6,765.55","4,907"
11/22/2024,"6,433.80","6,644.20","6,412.55","6,617.20","6,454"
11/21/2024,"6,515.60","6,515.60","6,388.85","6,407.15","4,139"
11/19/2024,"6,475.05","6,610.10","6,463.05","6,515.60","8,996"
11/18/2024,"6,300.00","6,486.65","6,258.85","6,447.20","15,065"
11/14/2024,"6,301.45","6,396.05","6,278.55","6,300.95","5,684"
11/13/2024,"6,489.40","6,489.40","6,275.85","6,328.10","21,154"
11/12/2024,"6,710.50","6,750.45","6,490.00","6,507.10","7,167"
11/11/2024,"6,700.05","6,795.00","6,630.05","6,702.65","4,134"
11/08/2024,"6,819.05","6,844.00","6,690.00","6,715.00","7,567"
11/07/2024,"6,998.95","6,998.95","6,800.10","6,815.15","15,967"
11/06/2024,"6,650.00","6,934.15","6,650.00","6,885.30","36,756"
11/05/2024,"6,565.00","6,653.90","6,375.00","6,632.55","12,189"
11/04/2024,"6,547.95","6,552.65","6,385.05","6,521.65","12,351"
11/01/2024,"6,490.05","6,531.65","6,471.65","6,503.90","4,130"
10/31/2024,"6,419.95","6,498.10","6,345.00","6,482.30","108,046"
10/30/2024,"6,400.25","6,476.85","6,340.00","6,393.75","8,654"
10/29/2024,"6,436.85","6,441.70","6,303.15","6,389.80","11,994"
10/28/2024,"6,460.00","6,520.00","6,345.90","6,366.90","12,311"
10/25/2024,"6,559.75","6,559.75","6,384.00","6,461.25","12,894"
10/24/2024,"6,661.70","6,661.70","6,489.05","6,501.20","15,661"
10/23/2024,"6,611.00","6,767.55","6,600.00","6,672.90","12,580"
10/22/2024,"6,820.05","6,834.00","6,595.60","6,639.30","31,723"
10/21/2024,"7,189.95","7,228.75","6,800.00","6,861.45","27,045"
10/18/2024,"6,798.95","7,169.00","6,611.40","7,117.55","51,156"
10/17/2024,"7,142.05","7,304.35","7,017.50","7,102.20","39,164"
10/16/2024,"7,450.05","7,500.20","7,161.00","7,182.40","24,822"
10/15/2024,"7,500.00","7,607.15","7,393.15","7,489.85","6,320"
10/14/2024,"7,400.00","7,507.95","7,332.10","7,479.85","14,890"
10/11/2024,"7,472.00","7,474.35","7,371.80","7,447.20","3,507"
10/10/2024,"7,405.00","7,578.85","7,388.70","7,451.15","12,515"
10/09/2024,"7,280.00","7,432.40","7,250.05","7,396.55","13,854"
10/08/2024,"7,055.80","7,295.00","7,042.50","7,264.00","6,453"
10/07/2024,"7,181.60","7,245.00","6,983.80","7,074.55","12,905"
10/04/2024,"7,330.55","7,390.00","7,166.10","7,181.55","27,925"
10/03/2024,"7,210.00","7,427.00","7,194.35","7,340.35","23,468"
10/01/2024,"6,960.00","7,350.00","6,900.00","7,321.45","71,588"
09/30/2024,"7,055.80","7,065.50","6,909.95","6,955.25","16,008"
09/27/2024,"6,741.70","7,117.35","6,741.70","7,055.45","90,399"
09/26/2024,"6,700.00","6,770.45","6,662.75","6,748.60","5,658"
